path,method_guess,grup,host_terkait,apk_sumber,terverifikasi,dipakai_runtime,catatan
/api/payouts/settings,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/payout-confirm,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/payout-page,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/payouts/schedules,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/payouts/gptu/backfill,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/bank-accounts/validate,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/bank-accounts/validate-gopay,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/bank-accounts/validate-gptu,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/bank-accounts/beneficiary-banks,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v2/bank-accounts/register,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v2/bank-accounts/verify,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/sof/gopay/register,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,SoF = source of funds
/api/v1/sof/gopay/verify,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/onboarding/processes,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/onboarding/processes/,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Varian trailing-slash
/api/outlets,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/outlets/,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Varian trailing-slash
/api/v1/outlets/,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/outlets/update-requests/,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/update-requests/outlets,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/update-requests/outlets/,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Varian trailing-slash
/api/v1/update-requests/outlets/pages/,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/onboarding/location/reverse-geocode,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/documents/mcc,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/documents/postal-code,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/merchant/instrument-option/detail/,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/merchant/instrument-option/list,BELUM TERVERIFIKASI,onboarding-outlet,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/location/search,BELUM TERVERIFIKASI,lokasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/location/reverse-geocode,BELUM TERVERIFIKASI,lokasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/location/administrative-areas/search,BELUM TERVERIFIKASI,lokasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/notifications/inbox,BELUM TERVERIFIKASI,notifikasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/notifications/read,BELUM TERVERIFIKASI,notifikasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/notifications/setting,BELUM TERVERIFIKASI,notifikasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Laporan tulis setting (singular)
/api/feedback/reasons,BELUM TERVERIFIKASI,notifikasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/feedback/submit,BELUM TERVERIFIKASI,notifikasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/feedbacks,BELUM TERVERIFIKASI,notifikasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/events,BELUM TERVERIFIKASI,notifikasi,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Pasangan REST untuk wss raccoon events
/api/configs/detail/article-page-configs,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/business-confirmation-page,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/cico-shortcut,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/cico-topup-url,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/cico-transfer-shortcut,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gma-consent-page,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gma-onboarding-public-general,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gma-webkit-webview-config,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-container,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-faq,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-prepurchase,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-product-detail-navigation,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-salestags-v2,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-testimony,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-tutorial,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-unboxing-guide-reels,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-verification-guide-reels,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay-spiker-voice-selection,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay_payout_disclaimer_content,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/gopay_payout_form_migpa,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/onboarding-consent-url,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/onboarding-location-access-toggle,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/ordered-merchant-type,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/soundbox-change-package-pricing-pageP,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Ejaan ...pageP verbatim dari strings
/api/configs/detail/soundbox-checkout-page,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/soundbox-prayer-times,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/soundbox-pricing-page,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/top-mcc-individual-workers,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/top-mcc-offline-store-merchant,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/top-mcc-online-offline-store-merchant,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/top-mcc-online-store-merchant,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/umi-consent,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/configs/detail/webview-features,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Remote config key
/api/pages/welcome/banners,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/article/,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/articlegroup,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/articlegroup/,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Varian trailing-slash
/api/dynamic-webpage/contents/,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/search,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/search/common,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/banner,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/bottom-bar,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/business-task,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/business-task/config,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/menu-entry-group/,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/menu-entry/,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/shortcut,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/components/user-task,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/homepage/experiment/release/2,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/promopage,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/shortcut-catalog,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/catalogpage,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Laporan §5.2 tidak mendaftar grup ini; literal dari strings sesi
/api/v1/user-tasks,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/user-tasks/outlets,BELUM TERVERIFIKASI,konten-config,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/campaign-histories,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/campaigns/,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/campaigns/outlet-list,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/custom-campaigns,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Laporan §5.2 tidak mendaftar grup ini; literal dari strings sesi
/api/custom-campaigns/form,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Laporan §5.2 tidak mendaftar grup ini; literal dari strings sesi
/api/recommended-campaigns,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Laporan §5.2 tidak mendaftar grup ini; literal dari strings sesi
/api/v2/campaigns/,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Laporan §5.2 tidak mendaftar grup ini; literal dari strings sesi
/api/v1/affiliate/validate,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/analytics/partner-id-mappings,BELUM TERVERIFIKASI,kampanye,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/consents/umi,BELUM TERVERIFIKASI,umkm,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/umi/eligibility,BELUM TERVERIFIKASI,umkm,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/cico/cashout/withdraw,BELUM TERVERIFIKASI,cico,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/cico/eligibility,BELUM TERVERIFIKASI,cico,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/cico/state,BELUM TERVERIFIKASI,cico,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
